36356 3.695617
48125 6.137938
40612 8.095464
40633 9.828502
43449 11.424730
50324 12.926161
51381 14.356751
40438 15.731695
67003 17.061352
38756 18.353160
39979 19.363141
50445 20.599971
59433 21.811579
51126 23.000820
54192 24.170032
49369 25.321162
49885 26.455849
38558 27.575490
42971 28.681289
48007 29.774290
6 35578 3.695617
11 49860 6.137938
16 46475 8.095464
21 49654 9.828502
26 50162 11.424730
31 38434 12.926161
36 50343 14.356751
41 42437 15.731695
46 37432 17.061352
51 37443 18.353160
55 49249 19.363141
60 42003 20.599971
65 40222 21.811579
70 52679 23.000820
75 36579 24.170032
80 37422 25.321162
85 41680 26.455849
90 47837 27.575490
95 47237 28.681289
100 41123 29.774290
