52615 3.695617
45641 6.137938
38505 8.095464
45993 9.828502
45126 11.424730
45983 12.926161
44085 14.356751
48793 15.731695
46257 17.061352
45604 18.353160
45802 19.363141
46322 20.599971
48866 21.811579
45768 23.000820
45380 24.170032
49496 25.321162
47617 26.455849
45559 27.575490
41513 28.681289
45267 29.774290
6 45087 3.695617
11 37948 6.137938
16 49531 8.095464
21 40166 9.828502
26 40162 11.424730
31 41303 12.926161
36 39350 14.356751
41 41114 15.731695
46 39961 17.061352
51 44428 18.353160
55 38366 19.363141
60 50797 20.599971
65 48430 21.811579
70 46785 23.000820
75 40502 24.170032
80 40354 25.321162
85 38892 26.455849
90 46923 27.575490
95 41999 28.681289
100 49066 29.774290
