12571 3.695617
12065 6.137938
27350 8.095464
12835 9.828502
14282 11.424730
13888 12.926161
12984 14.356751
16333 15.731695
15858 17.061352
16287 18.353160
13908 19.363141
22716 20.599971
15183 21.811579
13771 23.000820
16104 24.170032
16085 25.321162
16366 26.455849
15573 27.575490
16747 28.681289
16426 29.774290
6 11058 3.695617
11 14812 6.137938
16 11932 8.095464
21 12809 9.828502
26 15453 11.424730
31 15429 12.926161
36 14036 14.356751
41 14729 15.731695
46 17018 17.061352
51 13906 18.353160
55 13565 19.363141
60 12435 20.599971
65 16464 21.811579
70 14686 23.000820
75 17090 24.170032
80 14795 25.321162
85 16006 26.455849
90 14837 27.575490
95 15335 28.681289
100 15423 29.774290
