410072 5166.349737
755942 9629.609192
1119895 13892.850839
1464135 18035.849847
1829413 22093.811639
2179530 26086.488600
2568210 30026.462880
2923331 33922.417449
3261792 37780.686507
3618959 41606.083651
3986944 45402.307996
4316797 49172.546167
4722762 52919.211821
5064286 56644.382324
5388074 60349.815613
5770756 64037.017426
6109333 67707.291056
6459549 71361.774923
6864551 75001.471470
7216617 78627.269730
50001 396741 5166.349737
100001 757495 9629.609192
150001 1117995 13892.850839
200001 1487352 18035.849847
250001 1836720 22093.811639
300001 2196332 26086.488600
350001 2538093 30026.462880
400001 2902040 33922.417449
450001 3249044 37780.686507
500001 3615364 41606.083651
550000 4009823 45402.307996
600000 4343863 49172.546167
650000 4692941 52919.211821
700000 5089909 56644.382324
750000 5392374 60349.815613
800000 5807428 64037.017426
850000 6119004 67707.291056
900000 6482317 71361.774923
950000 6838508 75001.471470
1000000 7196196 78627.269730
