219314 5166.349737
415548 9629.609192
576243 13892.850839
776052 18035.849847
939236 22093.811639
1189129 26086.488600
1309359 30026.462880
1470292 33922.417449
1747279 37780.686507
1838720 41606.083651
2022627 45402.307996
2292694 49172.546167
2431514 52919.211821
2565291 56644.382324
2809849 60349.815613
2907893 64037.017426
3097135 67707.291056
3285956 71361.774923
3429547 75001.471470
3632347 78627.269730
50001 231036 5166.349737
100001 419523 9629.609192
150001 580943 13892.850839
200001 780614 18035.849847
250001 941246 22093.811639
300001 1126739 26086.488600
350001 1301450 30026.462880
400001 1468860 33922.417449
450001 1670325 37780.686507
500001 1843893 41606.083651
550000 2034765 45402.307996
600000 2199379 49172.546167
650000 2368297 52919.211821
700000 2549062 56644.382324
750000 2744169 60349.815613
800000 2910926 64037.017426
850000 3088458 67707.291056
900000 3280302 71361.774923
950000 3440713 75001.471470
1000000 3637519 78627.269730
