718150908 3001557.211668
1445402778 5762209.159353
2139600211 8445138.483039
2848708918 11079974.635447
3567862592 13680169.182858
4280125786 16253408.929572
4991875374 18804657.536382
5706883511 21337377.793910
6420180638 23854118.616173
7214020219 26356831.930582
7907119517 28847058.618946
8570274211 31326044.984158
9302288692 33794818.814641
9985488433 36254241.776023
10697969267 38705046.223766
11414052729 41147861.965675
12140146633 43583236.152899
12853556897 46011648.365789
13561865163 48433522.258798
14267128120 50849234.689635
50000001 715566559 3001557.211668
100000001 1427692476 5762209.159353
150000001 2140335863 8445138.483039
200000001 2853130338 11079974.635447
250000001 3569534497 13680169.182858
300000001 4277293873 16253408.929572
350000001 4992996106 18804657.536382
400000001 5700835682 21337377.793910
450000001 6420521895 23854118.616173
500000001 7132340829 26356831.930582
550000000 7845201515 28847058.618946
600000000 8559580758 31326044.984158
650000000 9274541390 33794818.814641
700000000 9985276840 36254241.776023
750000000 10694221731 38705046.223766
800000000 11396258718 41147861.965675
850000000 12121199093 43583236.152899
900000000 12834043852 46011648.365789
950000000 13542388384 48433522.258798
1000000000 14254987236 50849234.689635
