752103 5166.349737
1461630 9629.609192
2175354 13892.850839
2896615 18035.849847
3610069 22093.811639
4325803 26086.488600
5159344 30026.462880
5735732 33922.417449
6471222 37780.686507
7171941 41606.083651
7896749 45402.307996
8600126 49172.546167
9337558 52919.211821
10067007 56644.382324
10756000 60349.815613
11576998 64037.017426
12222455 67707.291056
12925301 71361.774923
13715106 75001.471470
14367577 78627.269730
50001 748118 5166.349737
100001 1475563 9629.609192
150001 2184752 13892.850839
200001 2912446 18035.849847
250001 3631550 22093.811639
300001 4334246 26086.488600
350001 5084415 30026.462880
400001 5790266 33922.417449
450001 6506975 37780.686507
500001 7195545 41606.083651
550000 7931230 45402.307996
600000 8595743 49172.546167
650000 9327043 52919.211821
700000 10061246 56644.382324
750000 10729020 60349.815613
800000 11524483 64037.017426
850000 12243019 67707.291056
900000 12891025 71361.774923
950000 13663826 75001.471470
1000000 14384623 78627.269730
