362164875 3001557.211668
734517533 5762209.159353
1077910015 8445138.483039
1433776698 11079974.635447
1795280222 13680169.182859
2154689343 16253408.929574
2496495871 18804657.536383
2850587329 21337377.793913
3208403334 23854118.616177
3568149804 26356831.930587
3936089880 28847058.618950
4282854766 31326044.984161
4635638265 33794818.814641
4995314070 36254241.776021
5353854467 38705046.223764
5703506190 41147861.965668
6058424586 43583236.152890
6420351937 46011648.365785
6774290450 48433522.258795
7139730246 50849234.689635
50000001 356933683 3001557.211668
100000001 713030452 5762209.159353
150000001 1069801925 8445138.483039
200000001 1425807309 11079974.635447
250000001 1785695429 13680169.182859
300000001 2138654345 16253408.929574
350000001 2496412973 18804657.536383
400000001 2851850462 21337377.793913
450000001 3208431712 23854118.616177
500000001 3568320109 26356831.930587
550000000 3922804878 28847058.618950
600000000 4283421452 31326044.984161
650000000 4635551508 33794818.814641
700000000 4989175254 36254241.776021
750000000 5345816061 38705046.223764
800000000 5701903965 41147861.965668
850000000 6063373330 43583236.152890
900000000 6420432733 46011648.365785
950000000 6771474904 48433522.258795
1000000000 7140294421 50849234.689635
