319598 3.695617
61275 6.137938
42346 8.095464
57418 9.828502
52864 11.424730
77902 12.926161
44159 14.356751
64369 15.731695
44146 17.061352
40167 18.353160
41685 19.363141
54632 20.599971
55543 21.811579
48488 23.000820
33663 24.170032
90788 25.321162
62233 26.455849
40229 27.575490
56563 28.681289
42318 29.774290
6 44123 3.695617
11 56602 6.137938
16 54858 8.095464
21 41764 9.828502
26 71081 11.424730
31 63941 12.926161
36 51237 14.356751
41 86936 15.731695
46 62593 17.061352
51 50940 18.353160
55 70730 19.363141
60 63504 20.599971
65 47508 21.811579
70 43947 23.000820
75 50040 24.170032
80 41823 25.321162
85 61364 26.455849
90 58488 27.575490
95 43713 28.681289
100 56809 29.774290
